date,county_en,region,unleaded_95,unleaded_100,super,diesel_driving,autogas,diesel_home_heating
2022-01-02,MAGNESIA,ΝΟΜΟΣ ΜΑΓΝΗΣΙΑΣ,1.788,1.975,,1.523,1.02,1.208
2022-01-02,MESSENIA,ΝΟΜΟΣ ΜΕΣΣΗΝΙΑΣ,1.761,1.925,,1.484,1.044,1.147
2022-01-02,XANTHI,ΝΟΜΟΣ ΞΑΝΘΗΣ,1.762,1.939,,1.487,1.066,1.11
2022-01-02,PELLA,ΝΟΜΟΣ ΠΕΛΛΗΣ,1.734,1.889,,1.458,0.989,1.111
2022-01-02,PIERIA,ΝΟΜΟΣ ΠΙΕΡΙΑΣ,1.731,1.922,,1.457,1.016,1.092
2022-01-02,PREVEZA,ΝΟΜΟΣ ΠΡΕΒΕΖΗΣ,1.735,1.895,,1.468,0.985,1.095
2022-01-02,RETHYMNO,ΝΟΜΟΣ ΡΕΘΥΜΝΗΣ,1.809,1.929,,1.531,1.085,1.19
2022-01-02,RHODOPE,ΝΟΜΟΣ ΡΟΔΟΠΗΣ,1.751,1.907,,1.474,1.036,1.116
2022-01-02,SAMOS,ΝΟΜΟΣ ΣΑΜΟΥ,1.826,1.98,,1.53,1.097,1.225
2022-01-02,SERRES,ΝΟΜΟΣ ΣΕΡΡΩΝ,1.734,1.892,,1.449,1.015,1.098
2022-01-02,TRIKALA,ΝΟΜΟΣ ΤΡΙΚΑΛΩΝ,1.728,1.896,,1.475,0.99,1.099
2022-01-02,FTHIOTIDA,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,1.781,1.957,1.848,1.508,1.038,1.157
2022-01-02,FLORINA,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,1.733,1.905,,1.481,1.039,1.121
2022-01-02,FOKIDA,ΝΟΜΟΣ ΦΩΚΙΔΟΣ,1.804,1.923,,1.541,1.066,1.187
2022-01-02,CHALKIDIKI,ΝΟΜΟΣ ΧΑΛΚΙΔΙΚΗΣ,1.75,1.917,,1.484,1.013,1.121
2022-01-02,CHANIA,ΝΟΜΟΣ ΧΑΝΙΩΝ,1.79,1.944,,1.529,1.089,1.152
2022-01-02,CHIOS,ΝΟΜΟΣ ΧΙΟΥ,1.77,1.94,,1.476,1.179,1.133
2022-01-02,NATIONAL WEIGHTED AVERAGE,ΠΑΝΕΛΛΗΝΙΟΣ ΣΤΑΘΜΙΣΜΕΝΟΣ Μ.Ο.,1.746,1.912,1.795,1.481,0.994,1.129
2022-01-03,AITOLOAKARNANIA,ΝΟΜΟΣ ΑΙΤΩΛΙΑΣ ΚΑΙ ΑΚΑΡΝΑΝΙΑΣ,1.776,1.96,,1.505,1.065,1.153
2022-01-03,ARGOLIDA,ΝΟΜΟΣ ΑΡΓΟΛΙΔΟΣ,1.739,1.903,,1.464,1.017,1.117
2022-01-03,ARCADIA,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,1.783,1.944,,1.511,1.023,1.141
2022-01-03,ARTA,ΝΟΜΟΣ ΑΡΤΗΣ,1.745,1.945,1.487,1.48,1.021,1.141
2022-01-03,ATTICA,ΝΟΜΟΣ ΑΤΤΙΚΗΣ,1.714,1.898,,1.45,0.94,1.106
2022-01-03,ACHAEA,ΝΟΜΟΣ ΑΧΑΪΑΣ,1.755,1.926,1.8,1.494,1.026,1.127
2022-01-03,BOEOTIA,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,1.745,1.935,,1.478,1.018,1.124
2022-01-03,GREVENA,ΝΟΜΟΣ ΓΡΕΒΕΝΩΝ,1.777,1.952,,1.502,1.016,1.151
2022-01-03,DRAMA,ΝΟΜΟΣ ΔΡΑΜΑΣ,1.719,1.915,,1.446,0.991,1.098
2022-01-03,DODECANESE,ΝΟΜΟΣ ΔΩΔΕΚΑΝΗΣΟΥ,1.896,2.021,,1.609,1.148,1.198
2022-01-03,EVROS,ΝΟΜΟΣ ΕΒΡΟΥ,1.755,1.928,,1.48,1.044,1.13
2022-01-03,EUBOEA,ΝΟΜΟΣ ΕΥΒΟΙΑΣ,1.769,1.929,1.489,1.503,1.001,1.128
2022-01-03,EVRYTANIA,ΝΟΜΟΣ ΕΥΡΥΤΑΝΙΑΣ,1.842,2.042,,1.582,1.055,1.186
2022-01-03,ZAKYNTHOS,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,1.782,1.942,,1.5,,1.143
2022-01-03,ELIS,ΝΟΜΟΣ ΗΛΕΙΑΣ,1.747,1.907,,1.48,0.996,1.139
2022-01-03,IMATHIA,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,1.721,1.901,,1.464,0.959,1.103
2022-01-03,HERAKLEION,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,1.802,1.917,,1.533,1.082,1.178
2022-01-03,THESPROTIA,ΝΟΜΟΣ ΘΕΣΠΡΩΤΙΑΣ,1.761,1.945,,1.498,1.015,1.16
2022-01-03,THESSALONIKI,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,1.703,1.886,1.429,1.442,0.98,1.109
