address,category,closed_from,closed_to,closed_to_date,district,formatted_add,lat,lng,municipality,notes,retrieval_date,school,school_code,search_coo,status,status_date,latest_update,level,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,status_match
,,2021-01-14,28-01-2021,2021-01-28,,"Paleo Agioneri 570 11, Greece",40.81478269999999,22.728335,ΚΙΛΚΙΣ,,2021-01-18,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΛΑΙΟΥ ΑΓΙΟΝΕΡΙΟΥ ΚΙΛΚΙΣ,9260137.0,"ΠΑΛΑΙΟ ΑΓΙΟΝΕΡΙ, ΚΙΛΚΙΣ",Επαναλειτουργία σχολείου,2021-01-30 15:09:06.356336,2021-01-30,Δημοτικά,,,,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Επαναλειτουργία σχολείου,Επαναλειτουργία σχολείου,True
ΔΩΔΕΚΑΝΗΣΟΥ 16,,2021-01-12,31-01-2021,2021-01-17,,"Efkarpia 564 29, Greece",40.6828347,22.9443757,ΠΑΥΛΟΥ ΜΕΛΑ,"Δ2 (Δ Τάξη) από 18/1 έως και 31/1
Ε1 (Ε Τάξη) από 12/1 έως και 25/1",2021-01-18,3ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΕΥΚΑΡΠΙΑΣ,9521103.0,"3ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΕΥΚΑΡΠΙΑΣ,ΔΩΔΕΚΑΝΗΣΟΥ 16,ΠΑΥΛΟΥ ΜΕΛΑ",Μερική αναστολή,2021-01-30 15:09:06.356336,2021-01-30,Δημοτικά,,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,False
ΚΑΛΛΙΣΠΕΡΗ 1,,2021-01-18,25-01-2021,2021-01-25,,"Kallisperi 1, Athina 117 42, Greece",37.9689925,23.7275585,ΑΘΗΝΑΙΩΝ,"Ε2 (Ε Τάξη), Ε2-ΑΓΓΛΙΚΑ (Ε Τάξη), Ε2-ΓΑΛΛΙΚΑ (Ε Τάξη), ΣΤ1 (ΣΤ Τάξη), ΣΤ1-ΑΓΓΛΙΚΑ (ΣΤ Τάξη), ΣΤ1-ΓΑΛΛΙΚΑ (ΣΤ Τάξη) από 18/1 έως και 25/1",2021-01-18,70ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΘΗΝΩΝ,9050093.0,"70ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΘΗΝΩΝ,ΚΑΛΛΙΣΠΕΡΗ 1,ΑΘΗΝΑΙΩΝ",Επαναλειτουργία τμημάτων/τάξεων,2021-01-30 15:09:06.356336,2021-01-30,Δημοτικά,,,,,,,,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,True
ΜΕΣΟΥΠΟΛΕΩΣ 72,,2021-01-15,28-01-2021,2021-01-28,,"Mesoupoleos 72, Ptolemaida 502 00, Greece",40.5178544,21.6715688,ΕΟΡΔΑΙΑΣ,,2021-01-18,11ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΤΟΛΕΜΑΪΔΑΣ,9270330.0,"11ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΤΟΛΕΜΑΪΔΑΣ,ΜΕΣΟΥΠΟΛΕΩΣ 72,ΕΟΡΔΑΙΑΣ",Επαναλειτουργία σχολείου,2021-01-30 15:09:06.356336,2021-01-30,Δημοτικά,,,,,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Επαναλειτουργία σχολείου,Επαναλειτουργία σχολείου,True
ΠΑΝΑΓΙΟΥΔΑ ΛΕΣΒΟΣ,,2021-01-18,29-01-2021,2021-01-29,,"Panagiouda 811 00, Greece",39.14552700000001,26.5279486,ΜΥΤΙΛΗΝΗΣ,"Α΄ΤΑΞΗ (Α Τάξη), Α΄ΤΑΞΗ ΑΓΓΛΙΚΑ (Α Τάξη), Ζ0*Α3 (Α Τάξη), Ζ1*Α1 (Α Τάξη), Π.Ζ. Α΄ (Α Τάξη), Β΄ΤΑΞΗ (Β Τάξη), Β΄ΤΑΞΗ ΑΓΓΛΙΚΑ (Β Τάξη), Ζ0*Β3 (Β Τάξη), Ζ1*Β1 (Β Τάξη), Π.Ζ. Β΄ (Β Τάξη), Τ.Ε. Β (Β Τάξη), Γ΄ ΤΑΞΗ (Γ Τάξη), Γ΄ ΤΑΞΗ ΑΓΓΛΙΚΑ (Γ Τάξη), Ζ0*Γ3 (Γ Τάξη), Ζ1*Γ1 (Γ Τάξη), Δ΄ΤΑΞΗ (Δ Τάξη), Δ΄ΤΑΞΗ ΑΓΓΛΙΚΑ (Δ Τάξη), Ζ0*Δ4 (Δ Τάξη), Ζ1*Δ2 (Δ Τάξη), Π.Ζ. Δ΄ (Δ Τάξη), Τ.Ε. Δ (Δ Τάξη), Ε΄ΤΑΞΗ (Ε Τάξη), Ε΄ΤΑΞΗ ΑΓΓΛΙΚΑ (Ε Τάξη), Ε΄ΤΑΞΗ ΓΑΛΛΙΚΑ (Ε Τάξη), Ζ0*Ε4 (Ε Τάξη), Ζ1*Ε2 (Ε Τάξη), Π.Ζ. Ε΄ (Ε Τάξη), Τ.Ε. Ε (Ε Τάξη), Ζ0*ΣΤ3 (ΣΤ Τάξη), Ζ1*ΣΤ1 (ΣΤ Τάξη), ΣΤ΄ΤΑΞΗ (ΣΤ Τάξη), ΣΤ΄ΤΑΞΗ ΑΓΓΛΙΚΑ (ΣΤ Τάξη), ΣΤ΄ΤΑΞΗ ΓΑΛΛΙΚΑ (ΣΤ Τάξη), Τ.Ε. ΣΤ (ΣΤ Τάξη), Ε.Δ. (Β Τάξη) από 18/1 έως και 29/1",2021-01-18,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΝΑΓΙΟΥΔΑΣ ΛΕΣΒΟΥ,9330088.0,"ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΝΑΓΙΟΥΔΑΣ ΛΕΣΒΟΥ,ΠΑΝΑΓΙΟΥΔΑ ΛΕΣΒΟΣ,ΜΥΤΙΛΗΝΗΣ",Επαναλειτουργία τμημάτων/τάξεων,2021-01-30 15:09:06.356336,2021-01-30,Δημοτικά,,,,,,,,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Επαναλειτουργία τμημάτων/τάξεων,True
ΔΡΥΜΟΣ,,2021-01-14,27-01-2021,2021-01-27,,"Drymos 545 00, Greece",40.778924,22.9634931,ΩΡΑΙΟΚΑΣΤΡΟΥ,,2021-01-18,ΝΗΠΙΑΓΩΓΕΙΟ ΔΡΥΜΟΥ ΘΕΣΣΑΛΟΝΙΚΗΣ,9190485.0,"ΝΗΠΙΑΓΩΓΕΙΟ ΔΡΥΜΟΥ ΘΕΣΣΑΛΟΝΙΚΗΣ,ΔΡΥΜΟΣ,ΩΡΑΙΟΚΑΣΤΡΟΥ",Επαναλειτουργία σχολείου,2021-01-30 15:09:06.356336,2021-01-18,Νηπιαγωγεία,,,,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Επαναλειτουργία σχολείου,Επαναλειτουργία σχολείου,Επαναλειτουργία σχολείου,True
ΧΡ. ΛΑΔΑ 12,,2021-01-18,25-01-2021,2021-01-25,,"Christou Lada 12, Galatsi 111 47, Greece",38.01626270000001,23.7560225,ΓΑΛΑΤΣΙΟΥ,ΒΑΣΙΚΟ ΤΜΗΜΑ 2 (ΠΡΟΝΗΠΙΑ-ΝΗΠΙΑ Τάξη) από 18/1 έως και 25/1,2021-01-18,12ο ΝΗΠΙΑΓΩΓΕΙΟ ΓΑΛΑΤΣΙΟΥ,9051555.0,"12ο ΝΗΠΙΑΓΩΓΕΙΟ ΓΑΛΑΤΣΙΟΥ,ΧΡ. ΛΑΔΑ 12,ΓΑΛΑΤΣΙΟΥ",Επαναλειτουργία τμημάτων/τάξεων,2021-01-30 15:09:06.356336,2021-01-30,Νηπιαγωγεία,,,,,,,,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,True
ΠΑΡΟΥ ΚΑΙ ΚΑΡΥΣΤΟΥ,,2021-01-13,26-01-2021,2021-01-26,,"Καρύστου και Πάρου, Kamatero 134 51, Greece",38.05695,23.701295,ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ - ΚΑΜΑΤΕΡΟΥ,"- Γ1 (Γ Τάξη), ΑΓΓΛΙΚΑ Γ1 (Γ Τάξη), Ζ2*Γ1 (Γ Τάξη) από 13/1 έως και 26/1",2021-01-18,8ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΜΑΤΕΡΟΥ,9051779.0,"8ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΜΑΤΕΡΟΥ,ΠΑΡΟΥ ΚΑΙ ΚΑΡΥΣΤΟΥ,ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ - ΚΑΜΑΤΕΡΟΥ",Επαναλειτουργία τμημάτων/τάξεων,2021-01-30 15:09:06.356336,2021-01-30,Δημοτικά,,,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,True
ΔΗΜΗΤΡΟΣ 27,,2021-01-18,29-01-2021,2021-01-29,,"Dimitros 27, Tripoli 221 00, Greece",37.5117157,22.3801224,ΤΡΙΠΟΛΗΣ,"Β2 (Β Τάξη), Δ2 (Δ Τάξη), Β2-ΑΓΓΛΙΚΑ (Β Τάξη), ΕΝ Β2 (Β Τάξη), Δ2-ΑΓΓΛΙΚΑ (Δ Τάξη), ΤΕ ΟΜ 1 (Β Τάξη) από 18/1 έως και 29/1",2021-01-18,4ο  ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΤΡΙΠΟΛΗΣ,9030103.0,"4ο  ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΤΡΙΠΟΛΗΣ,ΔΗΜΗΤΡΟΣ 27,ΤΡΙΠΟΛΗΣ",Επαναλειτουργία τμημάτων/τάξεων,2021-01-30 15:09:06.356336,2021-01-30,Δημοτικά,,,,,,,,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Επαναλειτουργία τμημάτων/τάξεων,True
ΠΗΓΗ ΛΕΣΒΟΣ,,2021-01-18,31-01-2021,2021-01-31,,"Gymnasiarchou David, Mitilini 811 00, Greece",39.0931449,26.5551805,ΜΥΤΙΛΗΝΗΣ,,2021-01-18,ΝΗΠΙΑΓΩΓΕΙΟ ΠΗΓΗΣ ΛΕΣΒΟΥ,9330203.0,"ΝΗΠΙΑΓΩΓΕΙΟ ΠΗΓΗΣ ΛΕΣΒΟΥ,ΠΗΓΗ ΛΕΣΒΟΣ,ΜΥΤΙΛΗΝΗΣ",Ολική αναστολή,2021-01-30 15:09:06.356336,2021-01-30,Νηπιαγωγεία,,,,,,,,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,True
Λομβάρδου 3,,2021-01-14,27-01-2021,2021-01-27,,"Lomvardou 3, Gerakas 153 44, Greece",37.9977202,23.8603836,ΠΑΛΛΗΝΗΣ,,2021-01-18,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΖΑΦΕΙΡΟΠΟΥΛΟΥ ΑΝΘΙΠΠΗ,7521153.0,"ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΖΑΦΕΙΡΟΠΟΥΛΟΥ ΑΝΘΙΠΠΗ,Λομβάρδου 3,ΠΑΛΛΗΝΗΣ",Επαναλειτουργία σχολείου,2021-01-30 15:09:06.356336,2021-01-30,Νηπιαγωγεία,,,,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Επαναλειτουργία σχολείου,Επαναλειτουργία σχολείου,Επαναλειτουργία σχολείου,True
ΜΟΡΓΚΕΝΤΑΟΥ 4,,2021-01-18,31-01-2021,2021-01-31,,"Stratigopoulou 2, Drama 661 00, Greece",41.1543606,24.1328807,ΔΡΑΜΑΣ,"_Γ (Γ Τάξη), ΑΓΓΛΙΚΑ Γ (Γ Τάξη), ΕΝΙΣΧΥΤΙΚΗ Γ (Γ Τάξη), Ζ0*Γ1 (Γ Τάξη), Ζ1*Γ1 (Γ Τάξη), ΠΡΩΙΝΗ ΖΩΝΗ Γ (Γ Τάξη) από 18/1 έως και 31/1",2021-01-19,9ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΔΡΑΜΑΣ,9090078.0,"9ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΔΡΑΜΑΣ,ΜΟΡΓΚΕΝΤΑΟΥ 4,ΔΡΑΜΑΣ",Μερική αναστολή,2021-01-30 15:09:06.356336,2021-01-30,Δημοτικά,,,,,,,,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,True
ΑΝΑΞΑΓΟΡΑ ΚΑΙ  ΑΙΣΧΥΛΟΥ,,2021-01-14,27-01-2021,2021-01-27,,"Markopoulo Mesogaias 190 03, Greece",37.8895302,23.9433938,ΜΑΡΚΟΠΟΥΛΟΥ ΜΕΣΟΓΑΙΑΣ,"ΑΓΓΛΙΚΑ Δ1 (Δ Τάξη), Δ1 (Δ Τάξη) από 14/1 έως και 27/1",2021-01-19,4ο  ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΑΡΚΟΠΟΥΛΟΥ,9521336.0,"4ο  ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΑΡΚΟΠΟΥΛΟΥ,ΑΝΑΞΑΓΟΡΑ ΚΑΙ  ΑΙΣΧΥΛΟΥ,ΜΑΡΚΟΠΟΥΛΟΥ ΜΕΣΟΓΑΙΑΣ",Επαναλειτουργία τμημάτων/τάξεων,2021-01-30 15:09:06.356336,2021-01-30,Δημοτικά,,,,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,True
ΦΙΛΙΚΗΣ ΕΤΑΙΡΕΙΑΣ 45,,2021-01-13,01-02-2021,2021-02-01,,"Filikis Eterias 50, Kalamaria 551 32, Greece",40.5689853,22.9605869,ΚΑΛΑΜΑΡΙΑΣ,"ΠΡΟΝΗΠΙΑ-ΝΗΠΙΑ 3 (ΠΡΟΝΗΠΙΑ-ΝΗΠΙΑ Τάξη), ΠΡΟΝΗΠΙΑ-ΝΗΠΙΑ 6 (ΠΡΟΝΗΠΙΑ-ΝΗΠΙΑ Τάξη) από 19/1 έως και 1/2
ΠΡΟΝΗΠΙΑ-ΝΗΠΙΑ 4 (ΠΡΟΝΗΠΙΑ-ΝΗΠΙΑ Τάξη) από 15/1 έως και 28/1
ΠΡΟΝΗΠΙΑ-ΝΗΠΙΑ 5 (ΠΡΟΝΗΠΙΑ-ΝΗΠΙΑ Τάξη) από 13/1 έως και 26/1",2021-01-19,3ο ΝΗΠΙΑΓΩΓΕΙΟ ΚΑΛΑΜΑΡΙΑΣ,9190024.0,"3ο ΝΗΠΙΑΓΩΓΕΙΟ ΚΑΛΑΜΑΡΙΑΣ,ΦΙΛΙΚΗΣ ΕΤΑΙΡΕΙΑΣ 45,ΚΑΛΑΜΑΡΙΑΣ",Μερική αναστολή,2021-01-30 15:09:06.356336,2021-01-30,Νηπιαγωγεία,,,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,True
ΓΑΒΡΙΗΛ ΑΡΚΑΔΙΟΥ 1,,2021-01-18,03-02-2021,2021-02-03,,"Gavriil Arkadiou 11, Sitia 723 00, Greece",35.2085681,26.1045751,ΣΗΤΕΙΑΣ,"Δ2 (Δ Τάξη) από 21/1 έως και 3/2
Ε2 (Ε Τάξη) από 18/1 έως και 31/1",2021-01-19,1ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΗΤΕΙΑΣ,9320090.0,"1ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΗΤΕΙΑΣ,ΓΑΒΡΙΗΛ ΑΡΚΑΔΙΟΥ 1,ΣΗΤΕΙΑΣ",Μερική αναστολή,2021-01-30 15:09:06.356336,2021-01-25,Δημοτικά,,,,,,,,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,True
ΛΟΦΟΣ ΑΓΙΟΥ ΚΩΝΣΤΑΝΤΙΝΟΥ ΟΔΟΣ ΛΑΜΠΟΥΣΑΣ,,2021-01-19,28-01-2021,2021-01-28,,"Chalcis 341 00, Greece",38.449719,23.5903828,ΧΑΛΚΙΔΕΩΝ,,2021-01-19,21ο ΝΗΠΙΑΓΩΓΕΙΟ ΧΑΛΚΙΔΑΣ,9120422.0,"21ο ΝΗΠΙΑΓΩΓΕΙΟ ΧΑΛΚΙΔΑΣ,ΛΟΦΟΣ ΑΓΙΟΥ ΚΩΝΣΤΑΝΤΙΝΟΥ ΟΔΟΣ ΛΑΜΠΟΥΣΑΣ,ΧΑΛΚΙΔΕΩΝ",Επαναλειτουργία σχολείου,2021-01-30 15:09:06.356336,2021-01-30,Νηπιαγωγεία,,,,,,,,,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Επαναλειτουργία σχολείου,Επαναλειτουργία σχολείου,True
ΧΟΡΜΟΠΟΥΛΟΥ 20,,2021-01-18,28-01-2021,2021-01-28,,"Χορμόπουλου, & Σούκα 20, Athina 115 22, Greece",37.9947774,23.7567504,ΑΘΗΝΑΙΩΝ,"ΟΛ/ΠΡ Α Δ.Α (Α Τάξη), ΟΛ/ΠΡ Α Ζ1 (Α Τάξη), ΟΛ/ΠΡ Α Ζ2 (Α Τάξη) από 18/1 έως και 28/1",2021-01-19,105ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΘΗΝΩΝ,9050003.0,"105ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΘΗΝΩΝ,ΧΟΡΜΟΠΟΥΛΟΥ 20,ΑΘΗΝΑΙΩΝ",Επαναλειτουργία τμημάτων/τάξεων,2021-01-30 15:09:06.356336,2021-01-30,Δημοτικά,,,,,,,,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,True
ΡΗΓΑ ΦΕΡΑΙΟΥ,,2021-01-18,29-01-2021,2021-01-29,,"Riga Fereou, Veria 590 33, Greece",40.5537019,22.2512658,ΒΕΡΟΙΑΣ,"Α (Α Τάξη), Α-ΑΓΓΛ (Α Τάξη), Α-ΕΝΙΣΧΥΤΙΚΗ (Α Τάξη) από 18/1 έως και 29/1",2021-01-19,3ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΑΚΡΟΧΩΡΙΟΥ,9160223.0,"3ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΑΚΡΟΧΩΡΙΟΥ,ΡΗΓΑ ΦΕΡΑΙΟΥ,ΒΕΡΟΙΑΣ",Επαναλειτουργία τμημάτων/τάξεων,2021-01-30 15:09:06.356336,2021-01-30,Δημοτικά,,,,,,,,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Επαναλειτουργία τμημάτων/τάξεων,True
ΣΑΡΑΝΤΟΠΟΡΟΥ 20,,2021-01-19,31-01-2021,2021-01-31,,"Sarantaporou 20, Athina 111 44, Greece",38.0200022,23.7333121,ΑΘΗΝΑΙΩΝ,"Γ1 (Γ Τάξη), Γ1 ΑΓΓΛΙΚΑ (Γ Τάξη) από 19/1 έως και 31/1",2021-01-19,24ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΘΗΝΑΣ,9050458.0,"24ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΘΗΝΑΣ,ΣΑΡΑΝΤΟΠΟΡΟΥ 20,ΑΘΗΝΑΙΩΝ",Μερική αναστολή,2021-01-30 15:09:06.356336,2021-01-28,Δημοτικά,,,,,,,,,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,True
ΣΚΙΑΘΟΣ,,2021-01-18,29-01-2021,2021-01-29,,"Παραλία Σκιάθου, Σκιάθος 370 02, Greece",39.1657257,23.4922364,ΣΚΙΑΘΟΥ,,2021-01-19,"ΕΙΔΙΚΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΚΙΑΘΟΥ ""ΑΛΕΞΑΝΔΡΟΣ ΠΑΠΑΔΙΑΜΑΝΤΗΣ""",9521390.0,"ΕΙΔΙΚΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΚΙΑΘΟΥ ""ΑΛΕΞΑΝΔΡΟΣ ΠΑΠΑΔΙΑΜΑΝΤΗΣ"",ΣΚΙΑΘΟΣ,ΣΚΙΑΘΟΥ",Επαναλειτουργία σχολείου,2021-01-30 15:09:06.356336,2021-01-30,Ειδικά σχολεία & ΕΕΕΕΚ,,,,,,,,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Ολική αναστολή,Επαναλειτουργία σχολείου,True
ΔΥΣΤΟΣ,,2021-01-19,28-01-2021,2021-01-21,,"Kymi-Aliveri 340 17, Greece",38.374233,24.1255804,ΚΥΜΗΣ-ΑΛΙΒΕΡΙΟΥ,"Β (Β Τάξη), Β ΕΝΙΣΧΥΤΙΚΗ (Β Τάξη), Β ΕΝΙΣΧΥΤΙΚΗ-2 (Β Τάξη), Β-ΑΓΓΛΙΚΑ (Β Τάξη), Ζ0*Β1 (Β Τάξη), Ζ1*Β1 (Β Τάξη) από 19/1 έως και 28/1",2021-01-19,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΔΥΣΤΟΥ,9120163.0,"ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΔΥΣΤΟΥ,ΔΥΣΤΟΣ,ΚΥΜΗΣ-ΑΛΙΒΕΡΙΟΥ",Επαναλειτουργία τμημάτων/τάξεων,2021-01-30 15:09:06.356336,2021-01-22,Δημοτικά,,,,,,,,,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,True
