names,prize_money,best_rank,overall_surface_pct,hard_surface_pct,clay_surface_pct,grass_surface_pct,ranksDiff1,ranksDiff2,ranksDiff3,best_rank_std,age_turned_pro,age,plays,backhand,favorite_surface,hard_titles_std,clay_titles_std,titles_std,prize_money_std
Felix Mantilla,408612.62,10,0.59,0.49,0.66,0.33,54.0,10.0,33.0,5.0,18.0,45.0,3,2,4,,0.7692307692307689,0.7692307692307689,12.920522846840699
Hermes Gamonal,30166.0,135,0.31,0.33,0.33,,309.0,15.0,79.0,6.0,19.0,42.0,3,1,4,,,,10.314470741328199
Lorenzo Sonego,307988.25,46,0.43,0.3,0.46,0.62,442.0,158.0,105.0,6.0,17.0,24.0,3,3,9,,,0.25,12.637816911877401
Mehdi Tahiri,,324,0.24,0.5,0.23,0.01,182.0,600.0,326.0,,,42.0,3,1,4,,,,
Kirill Ivanov Smolensky,32986.33,278,0.01,0.01,,0.01,11.0,32.0,20.0,7.0,17.0,39.0,3,1,1,,,,10.403848512202302
Alexander Bublik,154056.2,47,0.48,0.48,0.5,0.5,71.0,847.0,45.0,,,22.0,3,3,14,,,,11.9450727498881
Nerman Fatic,13086.4,334,0.4,0.4,,,3.0,84.0,3.0,6.0,18.0,25.0,3,3,1,,,,9.479328801980712
Erik Chvojka,81658.0,204,0.01,0.01,0.01,,123.0,280.0,26.0,8.0,17.0,33.0,2,3,1,,,,11.310295072778402
Dong Hyun Kim,,327,0.43,0.5,0.99,,533.0,8.0,457.0,,,41.0,3,1,1,,,,
Petr Kralert,46292.6,138,0.29,0.67,0.01,,57.0,115.0,165.0,3.0,17.0,40.0,3,3,1,,,,10.742737400086801
Yu Jr Wang,,309,0.29,0.39,0.01,0.01,270.0,29.0,36.0,,,38.0,2,1,10,,,,
Patrik Rosenholm,32229.33,350,0.4,0.4,,,19.0,356.0,55.0,7.0,19.0,32.0,3,2,1,,,,10.380632186507802
Dmitry Popko,115576.0,167,0.67,0.67,0.67,,376.0,33.0,127.0,,,23.0,3,3,1,,,,11.6576836012092
Juan Pablo Varillas Patino Samudio,19673.83,135,0.31,0.25,0.43,,21.0,162.0,143.0,,,24.0,3,3,4,,,,9.887044605189589
Jose Antonio Sanchez De Luna,57819.0,246,0.01,,0.01,,16.0,103.0,95.0,,,35.0,3,1,1,,,,10.9650727203672
Luke Bourgeois,60408.5,262,0.01,0.01,,,26.0,46.0,123.0,,,43.0,3,1,1,,,,11.0088851024984
Rabie Chaki,,338,0.5,0.5,0.5,,107.0,3.0,360.0,,,37.0,1,1,4,,,,
Juan Sebastian Cabal,502806.29,184,0.64,0.5,0.67,,510.0,60.0,146.0,,,33.0,3,3,4,,,,13.127960265564301
James Auckland,260610.0,282,0.67,0.67,,,442.0,113.0,88.0,7.0,18.0,39.0,3,1,1,,,,12.4707803159221
Travis Rettenmaier,121545.5,273,0.5,0.5,,0.5,176.0,290.0,165.0,4.0,18.0,36.0,3,3,1,,,,11.7080439572572
Julian Knowle,338763.44,86,0.23,0.19,0.14,0.33,13.0,13.0,43.0,10.0,17.0,45.0,2,3,9,,,,12.7330573256658
Eric Taino,60263.0,122,0.41,0.4,0.33,,36.0,62.0,46.0,6.0,21.0,44.0,2,1,10,,,,11.0064735957133
Pablo Gonzalez,11688.14,299,0.32,0.5,0.31,,43.0,266.0,41.0,6.0,18.0,37.0,3,1,4,,,,9.36632993145599
Guillermo Alcaide,78873.0,195,0.01,,,0.01,69.0,451.0,48.0,4.0,19.0,33.0,3,1,1,,,,11.2755942429452
Guillem Burniol,,383,0.01,,0.01,,33.0,172.0,234.0,,,36.0,3,1,1,,,,
Daniil Medvedev,2101538.6,4,0.64,0.69,0.38,0.6,326.0,264.0,49.0,5.0,18.0,24.0,3,3,10,1.4,,1.4,14.558180301091099
Duilio Beretta,8661.0,364,0.47,0.5,0.47,,132.0,419.0,2.0,3.0,16.0,28.0,3,3,4,,,,9.06658546833104
