names,prize_money,best_rank,overall_surface_pct,hard_surface_pct,clay_surface_pct,grass_surface_pct,ranksDiff1,ranksDiff2,ranksDiff3,best_rank_std,age_turned_pro,age,plays,backhand,favorite_surface,hard_titles_std,clay_titles_std,titles_std,prize_money_std
Yong Il Yoon,19099.0,140,0.5,0.44,0.62,0.01,148.0,376.0,96.0,4.0,22.0,46.0,3,1,2,,,,9.85739125664315
Jui Chen Hung,,596,0.5,0.5,,,58.0,207.0,387.0,,,30.0,3,1,1,,,,
Julien Boutter,204326.14,46,0.42,0.36,0.52,0.11,17.0,24.0,33.0,6.0,21.0,45.0,3,2,12,,0.14285714285714302,0.14285714285714302,12.227472721715401
Kevin Sorensen,,353,0.33,0.5,,0.01,7.0,321.0,194.0,,,38.0,3,1,1,,,,
Louis Wessels,57210.0,320,0.5,,0.5,,177.0,35.0,1.0,,,21.0,3,3,1,,,,10.9544839872626
Janne Ojala,,295,0.01,0.01,0.01,,404.0,242.0,68.0,,,42.0,3,1,1,,,,
Vadim Kutsenko,37082.88,140,0.4,0.39,0.25,,51.0,37.0,47.0,8.0,16.0,42.0,3,1,10,,,,10.5209106865666
Ugo Humbert,354118.33,42,0.48,0.49,0.2,0.6,279.0,45.0,15.0,4.0,17.0,21.0,2,3,9,0.33333333333333304,,0.33333333333333304,12.7773864017984
Lucas Catarina,37500.0,341,0.2,0.99,0.01,,442.0,115.0,14.0,3.0,18.0,23.0,3,3,1,,,,10.5320962119585
Lucas Gomez,9315.14,463,0.19,0.1,0.33,,244.0,297.0,319.0,,,24.0,2,3,4,,,,9.139396312445019
Tung Lin Wu,59123.0,213,0.99,0.99,,,165.0,130.0,3.0,,,21.0,3,3,1,,,,10.9873752985836
Ludovic Walter,,279,0.01,,,0.01,56.0,35.0,184.0,,,37.0,1,1,1,,,,
Tripp Phillips,311162.0,343,0.01,0.01,,,100.0,214.0,36.0,2.0,23.0,42.0,3,1,1,,,,12.648068955861401
Andreas Fasching,,423,0.01,,0.01,,240.0,100.0,372.0,,,39.0,1,1,1,,,,
Andrei Cherkasov,173850.08,13,0.48,0.49,0.48,0.01,162.0,111.0,193.0,3.0,17.0,49.0,3,1,2,,,0.153846153846154,12.065948597602699
Jacobo Diaz,76631.11,68,0.31,0.14,0.37,0.01,23.0,308.0,231.0,6.0,18.0,43.0,3,2,4,,,,11.2467584090481
Tomislav Ternar,,575,0.33,0.33,,,115.0,144.0,66.0,,,29.0,1,1,1,,,,
Marat Deviatiarov,,538,0.99,0.99,,,67.0,95.0,35.0,,,25.0,3,1,1,,,,
Vaja Uzakov,,698,0.01,0.01,0.01,,154.0,20.0,181.0,,,31.0,3,1,1,,,,
Louis Vosloo,133880.0,170,0.01,,0.01,,44.0,161.0,46.0,5.0,19.0,42.0,3,1,1,,,,11.8046991553253
Khumoun Sultanov,28623.5,299,0.5,,0.01,0.99,553.0,56.0,25.0,,,21.0,3,3,1,,,,10.261983337736801
Valentin Dimov,,621,0.01,,0.01,,321.0,247.0,53.0,,,30.0,3,1,1,,,,
Alexander Satschko,,269,,,,,51.0,484.0,628.0,5.0,21.0,39.0,3,1,1,,,,
Vincenzo Santopadre,77412.5,100,0.37,0.38,0.39,0.33,71.0,142.0,238.0,8.0,19.0,48.0,2,1,14,,,,11.2569035452463
Jc Aragone,62735.33,223,0.01,0.01,,0.01,232.0,21.0,1.0,1.0,21.0,24.0,3,3,1,,,,11.0466800448015
Jay Clarke,216866.0,153,0.25,,,0.25,22.0,79.0,12.0,3.0,17.0,21.0,3,3,1,,,,12.287034930263099
Vijayant Malik,,417,0.01,0.01,,,41.0,325.0,63.0,,,30.0,3,1,1,,,,
Javier Garcia Sintes,,329,0.01,,0.01,,299.0,41.0,52.0,,,40.0,3,1,1,,,,
Alexios Halebian,,537,0.01,0.01,,,101.0,320.0,32.0,,,25.0,2,1,1,,,,
Borna Gojo,26849.5,265,0.01,0.01,,,327.0,59.0,1.0,,,22.0,3,3,1,,,,10.198002477789698
Gian Marco Moroni,108282.0,212,0.5,,0.5,,481.0,33.0,17.0,,,22.0,3,2,1,,,,11.5924942141894
Botic Van De Zandschulp,84628.0,171,0.01,0.01,,,78.0,339.0,21.0,,,24.0,3,3,1,,,,11.3460204601032
Sebo Kiss,,531,0.5,0.62,0.4,,73.0,108.0,240.0,,,36.0,1,1,10,,,,
Gergely Kisgyorgy,12186.14,301,0.6,0.56,0.99,,145.0,6.0,293.0,,,43.0,3,1,4,,,,9.40805451933591
Omar Jasika,71523.0,239,0.25,0.25,,,258.0,35.0,194.0,,,22.0,2,3,1,,,,11.177774355276402
Daniel Kosakowski,66420.5,230,0.33,0.33,,,278.0,162.0,342.0,2.0,19.0,28.0,3,2,1,,,,11.1037610227555
Elbert Sie,,687,0.33,0.36,,,57.0,153.0,254.0,,,32.0,3,1,10,,,,
Genius Chidzikwe,1968.5,389,0.17,0.17,0.17,,300.0,125.0,536.0,8.0,16.0,40.0,3,1,14,,,,7.585027110383789
Daniel Glancy,,718,0.17,0.25,,,60.0,192.0,230.0,,,31.0,1,1,1,,,,
Brian Wilson,44216.0,232,0.2,0.25,,0.01,186.0,20.0,271.0,3.0,21.0,37.0,3,1,1,,,,10.6968419935131
Oliver Golding,,327,0.01,,,0.01,182.0,55.0,162.0,,,26.0,3,3,1,,,,
Gabriel Trifu,45587.14,148,0.22,,0.33,0.01,233.0,62.0,712.0,8.0,18.0,44.0,3,1,4,,,,10.727380938184199
Scott Oudsema,54870.0,255,0.2,0.25,,0.01,141.0,6.0,350.0,,,33.0,3,1,1,,,,10.912722030053
Goran Ivanisevic,1169294.53,2,0.64,0.58,0.62,0.72,117.0,231.0,414.0,6.0,16.0,48.0,2,3,7,0.17647058823529396,0.17647058823529396,1.29411764705882,13.971911159105
Rasmus Norby,,538,0.25,0.33,0.01,,9.0,129.0,130.0,,,37.0,3,1,1,,,,
Raymond Sarmiento,84611.0,287,0.01,0.01,,,112.0,406.0,53.0,,,27.0,3,3,1,,,,11.3458195607826
Simon Larose,34232.33,189,0.37,0.4,0.18,,137.0,110.0,125.0,6.0,19.0,41.0,3,2,10,,,,10.440925798153
Mauricio Doria Medina,,664,0.33,0.33,0.33,,173.0,63.0,149.0,,,31.0,2,1,1,,,,
Mauricio Estivariz,,653,0.14,0.99,0.01,,102.0,125.0,12.0,,,33.0,1,1,1,,,,
Max Purcell,142164.5,204,0.01,0.01,,0.01,3.0,59.0,9.0,,,21.0,3,3,1,,,,11.8647401168014
Bob Bryan,1222559.62,116,0.34,0.26,0.38,0.57,36.0,96.0,80.0,2.0,19.0,41.0,2,2,9,,,,14.0164572680582
Nicola Kuhn,63739.33,174,0.33,0.25,0.5,,3.0,31.0,14.0,2.0,16.0,19.0,3,3,1,,,,11.062557076463301
Maxim Dubarenco,18231.75,260,0.43,0.5,0.67,,187.0,78.0,77.0,,,26.0,3,3,10,,,,9.810919858677051
Scott Lipsky,1695242.0,315,0.01,,,0.01,242.0,89.0,33.0,3.0,21.0,38.0,3,1,1,,,,14.343336061467
Oleg Ogorodov,60209.5,101,0.47,0.48,0.5,0.4,82.0,18.0,453.0,,,47.0,3,1,15,,,,11.005585426155601
Emilio Benfele Alvarez,99884.67,81,0.4,0.01,0.47,0.25,148.0,207.0,65.0,8.0,16.0,47.0,3,2,4,,,,11.511771499407999
Ryan Sachire,,391,,,,,81.0,308.0,102.0,2.0,22.0,41.0,3,1,1,,,,
Ryan Russell,,503,0.67,0.73,0.01,,331.0,349.0,62.0,,,36.0,2,1,10,,,,
Filip Veger,651.0,478,0.01,0.01,,,231.0,72.0,9.0,,,25.0,3,3,1,,,,6.478509642208571
Colin Fleming,538411.5,359,0.33,0.99,,0.01,128.0,84.0,131.0,6.0,18.0,35.0,3,1,1,,,,13.196378416668502
Christopher Eubanks,81194.33,147,0.24,0.2,,0.5,177.0,58.0,3.0,,,23.0,3,2,10,,,,11.304600696125501
Nicolas Escude,321615.0,17,0.57,0.62,0.42,0.64,21.0,7.0,80.0,5.0,18.0,43.0,3,3,5,0.4,,0.4,12.681110456990302
Rogier Wassen,135998.12,143,0.24,0.43,0.2,0.01,20.0,3.0,86.0,5.0,17.0,43.0,3,3,10,,,,11.820396341093199
Romain Arneodo,67093.75,455,0.67,0.67,0.67,,186.0,86.0,57.0,,,27.0,3,3,1,,,,11.113846174061198
Salvador Navarro,42901.0,157,0.36,,0.36,,68.0,41.0,36.0,8.0,18.0,43.0,3,1,4,,,,10.6666504146677
Carlos Palencia,22103.0,435,0.67,0.99,0.01,,295.0,35.0,137.0,,,38.0,3,3,1,,,,10.0034686248994
Gabor Borsos,,551,0.2,0.33,0.01,,158.0,145.0,399.0,,,28.0,1,1,1,,,,
Scott Draper,159459.8,42,0.45,0.47,0.34,0.49,37.0,84.0,34.0,6.0,18.0,45.0,2,2,5,,,0.1,11.979547131822699
Noam Behr,42401.43,127,0.32,0.37,0.01,,60.0,120.0,196.0,7.0,18.0,44.0,2,1,10,,,,10.6549373670664
Michihisa Onoda,23685.33,301,0.01,0.01,,,252.0,56.0,80.0,,,42.0,3,1,1,,,,10.072611148129699
Carles Poch Gradin,,215,,,,,35.0,133.0,10.0,10.0,16.0,37.0,2,1,1,,,,
Richard Becker,,336,,,,,260.0,422.0,39.0,4.0,20.0,29.0,3,3,1,,,,
Daniel Alejandro Lopez Cassaccia,,540,0.36,0.75,0.14,,240.0,91.0,41.0,,,30.0,3,1,4,,,,
Frank Condor,,325,0.01,,0.01,,5.0,538.0,1.0,,,36.0,1,1,1,,,,
Robert Farah,1072675.67,163,0.31,0.01,0.4,,294.0,748.0,43.0,1.0,23.0,33.0,3,3,4,,,,13.8856667112432
Francisco Rodriguez,,373,0.7,0.5,0.75,,394.0,119.0,90.0,,,43.0,3,1,4,,,,
Casper Ruud,290223.0,34,0.52,0.29,0.64,0.01,27.0,58.0,18.0,5.0,16.0,21.0,3,3,4,,0.2,0.2,12.578404871977401
Catalin Gard,162058.0,224,0.01,,0.01,,304.0,183.0,67.0,8.0,18.0,38.0,3,1,1,,,,11.9957095748303
Miomir Kecmanovic,428513.67,47,0.53,0.54,0.25,0.6,76.0,72.0,12.0,2.0,17.0,20.0,3,3,14,,,,12.968077918494801
Federico Browne,52941.29,106,0.36,0.25,0.39,,158.0,123.0,89.0,9.0,17.0,43.0,3,1,4,,,,10.876938842692402
Denis Shapovalov,907192.2,13,0.54,0.58,0.5,0.25,24.0,12.0,1.0,3.0,17.0,20.0,2,2,10,0.2,,0.2,13.718109614035098
Pruchya Isarow,,545,0.64,0.64,,,94.0,87.0,12.0,,,24.0,3,1,10,,,,
Martin Pedersen,4655.12,344,0.48,0.42,0.62,,500.0,130.0,274.0,3.0,17.0,32.0,3,3,4,,,,8.44572296811145
Martin Vilarrubi,12591.5,405,0.6,0.99,0.5,,80.0,304.0,7.0,,,35.0,3,1,4,,,,9.440777262117859
Paul Logtens,29166.5,269,0.01,,,0.01,277.0,320.0,26.0,,,40.0,3,1,1,,,,10.2807760693756
Mariano Delfino,166157.0,154,0.01,,0.01,,84.0,171.0,57.0,6.0,19.0,42.0,3,1,1,,,,12.020688403500099
Attila Savolt,77647.0,68,0.42,0.23,0.53,0.01,52.0,2.0,80.0,7.0,19.0,44.0,3,2,4,,,,11.2599281929303
Suk Young Jeong,13753.75,270,0.44,0.44,,,266.0,163.0,452.0,,,26.0,3,3,1,,,,9.52906679318412
Prima Simpatiaji,,613,0.42,0.42,,,208.0,285.0,344.0,,,38.0,3,1,10,,,,
Dino Marcan,87061.5,289,0.01,0.01,,,374.0,30.0,96.0,4.0,17.0,29.0,3,3,1,,,,11.374370044454801
Armin Sandbichler,,421,0.01,,0.01,,74.0,98.0,134.0,,,35.0,2,1,1,,,,
Mariusz Fyrstenberg,436180.57,317,0.36,0.33,0.33,,30.0,147.0,102.0,1.0,20.0,39.0,2,3,4,,,,12.9858115879703
Diego Hidalgo,60865.0,358,0.01,,0.01,,70.0,87.0,593.0,,,26.0,2,3,1,,,,11.0164135758437
Arsenije Zlatanovic,,609,0.01,,0.01,,234.0,51.0,89.0,,,30.0,3,1,1,,,,
Thai Son Kwiatkowski,70521.67,181,0.01,0.01,,0.01,224.0,53.0,58.0,3.0,22.0,25.0,3,3,1,,,,11.163675317456601
Mario Radic,33947.67,141,0.33,,0.33,,155.0,150.0,523.0,,,38.0,3,1,1,,,,10.4325755002929
Horia Tecau,1720007.67,326,0.01,0.01,,,587.0,27.0,30.0,2.0,18.0,35.0,3,3,1,,,,14.357839308082
Petar Jelenic,30105.0,467,0.5,0.5,,,404.0,151.0,267.0,,,32.0,3,3,1,,,,10.3124465498985
Dimitri Mazur,,396,0.67,0.67,,,30.0,27.0,374.0,,,40.0,3,1,1,,,,
Talal Ouahabi,,382,0.01,,0.01,,33.0,226.0,125.0,,,42.0,3,1,1,,,,
Henry Adjei Darko,,275,0.5,0.5,0.5,,372.0,317.0,349.0,,,37.0,1,1,1,,,,
Markos Kalovelonis,26223.0,445,0.5,,0.01,,287.0,373.0,153.0,,,25.0,3,3,1,,,,10.1743921672486
Thomas Blake,47207.0,264,0.29,0.33,0.01,0.33,137.0,146.0,140.0,3.0,22.0,43.0,3,1,1,,,,10.7622974656623
Dejan Petrovic,82909.5,157,0.25,0.25,,0.25,127.0,105.0,195.0,,,41.0,3,1,1,,,,11.3255049304565
Tetsuya Chaen,,339,0.01,0.01,,,17.0,25.0,177.0,,,46.0,3,1,1,,,,
Gunther Darkey,,485,0.25,0.5,0.01,,330.0,172.0,292.0,,,43.0,3,1,1,,,,
Stefano Pescosolido,118405.07,42,0.41,0.46,0.4,0.33,19.0,71.0,137.0,3.0,17.0,48.0,3,2,10,0.14285714285714302,,0.14285714285714302,11.681866821461199
Patricio Arquez,,222,0.01,,0.01,,90.0,402.0,135.0,,,39.0,3,1,1,,,,
Petros Chrysochos,11157.0,378,0.22,0.25,0.01,,10.0,199.0,113.0,,,23.0,3,3,1,,,,9.31982238259318
Bartlomiej Dabrowski,6632.71,211,0.52,0.5,0.56,,140.0,42.0,126.0,,,47.0,3,1,4,,,,8.799768747779789
Guillaume Couillard,,569,0.27,0.99,0.22,,19.0,161.0,114.0,,,44.0,3,1,4,,,,
Dominik Koepfer,162529.25,83,0.4,0.42,0.01,0.5,144.0,67.0,2.0,3.0,21.0,25.0,2,3,10,,,,11.9986132645539
Anil Yuksel,48768.0,492,0.01,0.01,0.01,,170.0,118.0,17.0,,,29.0,2,3,1,,,,10.794829639046302
Stanislav Vovk,33624.0,357,0.01,0.01,0.01,,144.0,61.0,40.0,6.0,17.0,29.0,3,2,1,,,,10.422995376685
Stefano Cobolli,,236,0.33,,0.33,,78.0,183.0,351.0,,,43.0,3,1,1,,,,
Paris Gemouchidis,,582,0.01,,0.01,,19.0,27.0,244.0,,,32.0,3,1,1,,,,
Tim Van Rijthoven,16209.0,285,0.01,0.01,,,179.0,121.0,48.0,,,22.0,3,2,1,,,,9.69332192251218
Rafael Arevalo,3444.1,374,0.52,0.43,0.58,,43.0,249.0,87.0,5.0,16.0,33.0,3,2,4,,,,8.14441790113073
Patrik Niklas Salminen,11937.5,418,0.01,0.01,,,393.0,93.0,78.0,,,23.0,2,3,1,,,,9.38743998478899
Solon Peppas,16479.67,149,0.48,0.67,0.47,,92.0,322.0,35.0,,,45.0,3,1,10,,,,9.70988277899113
Quino Munoz,70624.5,157,0.5,,0.5,,114.0,139.0,414.0,,,45.0,3,1,1,,,,11.1651323887777
Mathias Hellstrom,38106.0,366,0.01,,0.01,,273.0,205.0,87.0,,,42.0,3,1,1,,,,10.548127029031
Tigre Hank,28016.33,416,0.11,0.17,0.01,,104.0,91.0,514.0,,,28.0,2,3,1,,,,10.240542833439699
Dekel Valtzer,,388,0.01,,,0.01,135.0,164.0,51.0,,,35.0,1,1,1,,,,
Matias Boeker,43951.33,216,0.2,0.25,0.01,,23.0,237.0,54.0,,,39.0,3,1,1,,,,10.6908381643164
Nicolas Alvarez,,295,0.86,0.67,0.99,,293.0,266.0,29.0,,,23.0,3,1,1,,,,
Rok Jarc,,462,0.67,0.99,0.5,,363.0,229.0,136.0,,,34.0,3,1,1,,,,
Robin Roshardt,,509,0.01,,0.01,,200.0,237.0,214.0,,,32.0,3,1,1,,,,
Karim Alami,149114.0,25,0.47,0.38,0.54,0.33,146.0,276.0,511.0,10.0,16.0,46.0,3,2,4,,0.14285714285714302,0.14285714285714302,11.9124663930584
Karim Hossam,46668.0,337,0.01,0.01,,,550.0,94.0,,,,25.0,3,3,1,,,,10.750813983943699
Peter Nagy,25063.0,409,0.43,0.01,0.5,,65.0,167.0,,,,27.0,3,3,1,,,,10.1291479339746
Robert Yim,46307.0,444,0.01,0.01,,,112.0,169.0,88.0,2.0,17.0,35.0,2,1,1,,,,10.7430484165516
Jung Woong Na,47400.0,404,0.01,0.01,,,256.0,181.0,67.0,,,27.0,1,1,1,,,,10.766377507683199
Jun Chao Xu,,588,0.01,0.01,,,45.0,229.0,251.0,,,31.0,1,1,1,,,,
Yshai Oliel,5203.0,396,0.33,,0.99,,227.0,6.0,,,,20.0,2,3,1,,,,8.5569906612903
Purav Raja,,813,0.01,0.01,,,31.0,58.0,36.0,,,34.0,3,1,1,,,,
Renzo Furlan,163269.53,19,0.48,0.45,0.5,0.33,46.0,4.0,8.0,8.0,17.0,49.0,3,2,2,0.0666666666666667,0.0666666666666667,0.133333333333333,12.0031576724488
Julien Mathieu,,562,0.01,,,,350.0,103.0,45.0,,,37.0,3,1,1,,,,
Yordan Kanev,,306,0.29,0.01,0.25,,81.0,411.0,193.0,,,35.0,3,1,1,,,,
Relja Fiser Dulic,,330,0.01,,0.01,,84.0,293.0,176.0,,,44.0,3,1,1,,,,
Regis Lavergne,104618.0,194,0.01,0.01,,,404.0,122.0,219.0,,,46.0,3,1,1,,,,11.5580708999382
Yevgeny Kafelnikov,1990316.42,1,0.67,0.68,0.58,0.7,1.0,23.0,14.0,7.0,18.0,46.0,3,3,3,0.75,0.25,2.1666666666666696,14.5038041890858
Ricardo Schlachter,86503.0,260,0.01,,0.01,,72.0,105.0,287.0,,,42.0,3,1,1,,,,11.3679343743995
Kalle Flygt,28450.0,250,0.4,0.5,0.01,,74.0,201.0,483.0,,,43.0,3,1,1,,,,10.255903439554501
Nikos Rovas,,429,0.4,,0.43,,28.0,203.0,331.0,,,42.0,3,1,4,,,,
Kaden Hensel,,390,,,,,79.0,405.0,97.0,6.0,17.0,33.0,3,3,1,,,,
Nir Welgreen,33308.67,229,0.29,0.29,,,129.0,246.0,283.0,,,43.0,3,1,1,,,,10.413573002441
Pavel Katliarov,,785,0.01,0.01,,,8.0,22.0,110.0,,,32.0,3,1,1,,,,
Pavel Chekhov,78101.0,231,0.01,,,,553.0,19.0,360.0,,,31.0,3,3,1,,,,11.265758139843099
Oliver Gross,79674.18,60,0.39,0.34,0.43,0.01,2.0,9.0,318.0,2.0,19.0,46.0,3,1,4,,,,11.285700847422099
Jurek Stasiak,37058.0,213,0.5,0.33,0.99,,58.0,94.0,190.0,,,41.0,3,1,1,,,,10.5202395318424
Ota Fukarek,129107.33,101,0.13,0.1,0.01,0.33,172.0,70.0,196.0,6.0,18.0,43.0,3,1,10,,,,11.768399352914699
Kentaro Masuda,,344,0.01,0.01,,,74.0,52.0,157.0,,,48.0,3,1,1,,,,
Toshiaki Sakai,,468,0.01,0.01,,,38.0,191.0,436.0,,,45.0,2,1,1,,,,
Luke Smith,28069.33,363,0.29,0.29,,,329.0,263.0,66.0,,,43.0,3,2,1,,,,10.2424328001719
Magnus Larsson,364965.69,10,0.58,0.57,0.57,0.56,61.0,16.0,355.0,6.0,18.0,49.0,3,3,3,0.125,0.125,0.4375,12.807558628146401
Magnus Norman,453724.7,2,0.58,0.57,0.61,0.47,45.0,58.0,18.0,5.0,18.0,43.0,3,3,15,0.5,0.7,1.2,13.025245905430902
Steven Randjelovic,51688.5,205,0.01,,0.01,0.01,65.0,82.0,84.0,3.0,19.0,44.0,3,1,1,,,,10.8529905986164
Lukas Mugevicius,5516.86,390,0.33,0.33,0.25,,298.0,72.0,,,,25.0,3,3,10,,,,8.61556413684025
Tres Davis,,404,,,,,145.0,361.0,46.0,3.0,20.0,38.0,3,1,1,,,,
Srinath Prahlad,14156.67,310,0.01,0.01,0.01,,41.0,200.0,72.0,2.0,24.0,47.0,3,1,1,,,,9.5579411700995
Soong Jae Cho,28949.0,488,0.99,0.99,,,230.0,133.0,299.0,,,29.0,3,3,1,,,,10.273290940090199
Luis Diaz Barriga,43913.0,461,0.01,,0.01,,109.0,116.0,168.0,9.0,16.0,33.0,3,3,1,,,,10.6899656827888
Luis Adrian Morejon,20651.17,122,0.39,0.38,0.42,0.01,24.0,107.0,408.0,5.0,17.0,46.0,3,1,14,,,,9.93552725537978
Tucker Vorster,30070.0,278,0.71,0.8,0.5,,198.0,135.0,,,,31.0,3,3,1,,,,10.3112832759826
Simon Rea,,473,0.25,0.01,0.01,,161.0,139.0,456.0,,,37.0,2,1,1,,,,
Tommi Lenho,,291,0.99,,0.99,,49.0,391.0,41.0,,,44.0,3,1,1,,,,
Thiago Seyboth Wild,29839.0,113,0.58,,0.58,,165.0,238.0,98.0,2.0,17.0,19.0,3,3,4,,0.33333333333333304,0.33333333333333304,10.3035715416918
Todd Larkham,51018.0,136,0.18,0.1,0.25,0.33,404.0,44.0,66.0,10.0,18.0,45.0,3,2,10,,,,10.839933790613802
Tigran Martirosyan,,361,0.01,,0.01,,27.0,308.0,6.0,,,36.0,3,1,1,,,,
Marcin Matkowski,,647,0.5,0.01,0.5,,52.0,1.0,130.0,,,39.0,3,1,1,,,,
Marcio Carlsson,68432.33,119,0.36,0.01,0.38,,208.0,100.0,198.0,4.0,19.0,45.0,3,2,4,,,,11.1336006527604
Marko Djokovic,,571,0.01,0.01,0.01,,273.0,251.0,86.0,,,28.0,3,1,1,,,,
Markus Hipfl,71583.18,63,0.44,0.31,0.51,0.14,43.0,49.0,154.0,7.0,16.0,41.0,3,1,4,,,,11.1786154091505
Tai Wei Liu,,543,0.25,0.33,,,281.0,223.0,19.0,,,,2,1,1,,,,
Martin Vaisse,48757.0,225,0.01,,0.01,,477.0,95.0,484.0,,,32.0,3,3,1,,,,10.7946040558616
Syrym Abdukhalikov,,544,0.5,0.67,0.99,,220.0,171.0,70.0,,,32.0,3,1,1,,,,
Marc Andrea Huesler,58852.5,263,0.33,0.33,0.33,,229.0,94.0,18.0,,,23.0,2,3,1,,,,10.982789592669699
Tomislav Peric,,342,0.01,,0.01,,50.0,289.0,51.0,,,36.0,3,1,1,,,,
Rolandas Murashka,,575,0.58,0.5,0.75,,27.0,189.0,4.0,,,45.0,3,1,3,,,,
Ryan Shane,103392.0,333,0.01,0.01,,,291.0,78.0,,,,25.0,3,2,1,,,,11.546282868624198
Rudolf Molleker,113964.0,146,0.31,0.01,0.38,0.25,359.0,43.0,23.0,2.0,16.0,19.0,3,3,4,,,,11.643637888031002
Mike Bryan,2389870.86,246,0.31,0.4,0.01,0.25,38.0,272.0,69.0,2.0,19.0,41.0,3,2,10,,,,14.686749888975001
Lado Chikhladze,,350,0.35,0.25,0.25,,33.0,174.0,492.0,,,34.0,3,1,3,,,,
Lars Poerschke,21145.5,277,0.01,0.01,,,18.0,565.0,531.0,,,35.0,3,3,1,,,,9.95918239587909
Mikhail Biryukov,25600.0,292,0.01,0.01,,,310.0,222.0,430.0,,,27.0,3,3,1,,,,10.1503476304677
Mike Urbanija,9410.33,477,0.01,0.01,,,15.0,219.0,,,,30.0,3,3,1,,,,9.14956330103997
Ruben Gonzales,,766,0.67,0.01,0.78,,145.0,2.0,,,,34.0,3,1,4,,,,
Kim Tiilikainen,18594.5,207,0.5,0.2,0.6,,42.0,67.0,209.0,5.0,18.0,44.0,3,1,4,,,,9.83062111704901
Ross Hutchins,,559,0.01,0.01,,,89.0,25.0,165.0,,,35.0,3,1,1,,,,
Neville Godwin,,90,0.39,0.34,0.01,0.55,5.0,79.0,201.0,3.0,19.0,45.0,3,1,9,,,0.1,
Wayne Black,235732.71,69,0.44,0.45,0.3,0.37,53.0,257.0,115.0,4.0,20.0,46.0,3,3,3,,,,12.3704538574032
Weerapat Doakmaiklee,,680,0.1,0.17,0.01,,91.0,48.0,107.0,,,32.0,3,1,10,,,,
Kepler Orellana,13070.0,304,0.5,0.67,0.33,,283.0,98.0,96.0,,,42.0,3,1,10,,,,9.47807480661827
Ulises Blanch,,264,,,,,194.0,75.0,119.0,3.0,18.0,21.0,3,3,1,,,,
Sebastian Korda,27409.0,225,0.01,0.01,,,322.0,275.0,24.0,,,19.0,3,3,1,,,,10.2186267055959
Lionel Roux,114149.82,48,0.39,0.44,0.28,0.01,336.0,325.0,749.0,4.0,17.0,46.0,3,3,12,,,,11.6452670750842
Sebastian Prieto,158988.38,137,0.25,0.5,0.23,,118.0,58.0,68.0,,,44.0,3,1,4,,,,11.976586396770802
Michael Joyce,63083.25,64,0.41,0.45,0.17,0.44,38.0,115.0,94.0,5.0,18.0,47.0,3,3,6,,,,11.0522105616267
Michael Chang,1126213.65,2,0.68,0.7,0.65,0.54,62.0,30.0,259.0,8.0,16.0,48.0,3,3,10,1.23529411764706,0.23529411764705901,2.0,13.9343718121341
Miha Gregorc,,554,0.01,,0.01,,94.0,32.0,69.0,,,40.0,3,1,1,,,,
Seong Chan Hong,17776.67,343,0.4,0.99,0.5,0.01,7.0,242.0,,,,22.0,3,3,1,,,,9.78564220243824
Sergio Galdos,,590,0.83,,0.99,,170.0,50.0,258.0,,,30.0,3,1,1,,,,
Levar Harper Griffith,48089.5,224,0.01,0.01,0.01,,263.0,301.0,296.0,,,38.0,3,1,1,,,,10.780819137045698
Leos Friedl,407134.33,353,0.38,0.25,0.67,,46.0,371.0,363.0,3.0,20.0,43.0,3,1,1,,,,12.9168984591105
Michail Elgin,142402.0,123,0.22,0.29,,,62.0,218.0,42.0,11.0,16.0,38.0,3,2,1,,,,11.8664093228052
Lefteris Alexiou,,521,0.25,0.33,0.01,,127.0,253.0,386.0,,,37.0,3,1,1,,,,
Lazaro Navarro Batles,,331,0.65,0.73,0.01,,182.0,217.0,95.0,,,46.0,3,1,10,,,,
Mike Scheidweiler,4964.5,281,0.33,0.27,0.38,,358.0,35.0,95.0,,,38.0,3,1,4,,,,8.510067866473651
Zsombor Piros,31961.0,330,0.4,0.5,0.33,,293.0,86.0,23.0,,,20.0,3,3,1,,,,10.3722716885021
Haydn Lewis,,583,0.23,0.33,0.01,,17.0,179.0,23.0,,,34.0,2,1,10,,,,
Hee Sung Chung,,680,0.01,,,,178.0,25.0,51.0,,,43.0,3,1,1,,,,
Jens Knippschild,127246.5,76,0.41,0.34,0.4,0.54,58.0,108.0,267.0,7.0,17.0,45.0,3,2,9,,,,11.7538814291229
Davide Scala,56022.0,117,0.38,0.33,0.38,,30.0,174.0,71.0,,,48.0,3,1,4,,,,10.933499749712
Andrej Kracman,3026.12,393,0.6,0.67,0.67,,286.0,539.0,52.0,,,37.0,3,1,4,,,,8.015036549873969
Doug Bohaboy,63432.0,250,0.01,0.01,,,254.0,66.0,196.0,,,43.0,3,1,1,,,,11.057723744952199
Henrik Andersson,23856.5,314,0.01,,0.01,,164.0,159.0,530.0,,,42.0,3,1,1,,,,10.0798119958727
Jeff Dadamo,,480,,,,,186.0,87.0,150.0,2.0,20.0,30.0,2,1,1,,,,
Chris Lewis,,457,,,,,56.0,160.0,75.0,28.0,-8.0,37.0,3,2,1,,,,
Andrew Ilie,165979.75,38,0.43,0.39,0.53,0.31,16.0,398.0,80.0,6.0,17.0,43.0,3,2,4,,0.25,0.25,12.019621071945698
Jean Baptiste Perlant,145439.0,136,0.33,0.33,0.33,,7.0,41.0,259.0,2.0,19.0,43.0,3,1,1,,,,11.8875120337001
